Date,RM,RF,Year,Month
2010-07-16,-0.005185268,0,2010,7
2010-07-15,-0.001294962,0,2010,7
2010-07-14,0.015411811,0,2010,7
2010-07-13,-0.005514723,0,2010,7
2010-07-12,-0.001006898,0,2010,7
2010-07-09,0.005046755,0,2010,7
2010-07-08,0.009873302,0,2010,7
2010-07-07,-0.001857328,0,2010,7
2010-07-06,0.0145861,0,2010,7
2010-07-05,0.014898905,0,2010,7
2010-07-02,0.010570632,0,2010,7
2010-07-01,-0.010275099,0,2010,7
2010-06-30,-0.012689313,0,2010,6
2010-06-29,-0.010294916,0,2010,6
2010-06-28,0.003489099,0,2010,6
2010-06-25,-0.015175451,0,2010,6
2010-06-24,0.001020819,0,2010,6
2010-06-23,-0.004010414,0,2010,6
2010-06-22,-0.002996506,0,2010,6
2010-06-21,0.019010798,0,2010,6
2010-06-18,-0.00301632,0,2010,6
2010-06-17,0.008280051,0,2010,6
2010-06-15,0.009023472,0,2010,6
2010-06-14,0.012043307,0,2010,6
2010-06-11,0.016391502,0,2010,6
2010-06-10,0.015569165,0,2010,6
2010-06-09,-0.011230441,0,2010,6
2010-06-08,-0.00081589,0,2010,6
2010-06-07,-0.02542824,0,2010,6
2010-06-04,-0.002131712,0,2010,6
2010-06-03,0.022870571,0,2010,6
2010-06-02,-0.01284343,0,2010,6
2010-06-01,-0.011479554,0,2010,6
2010-05-31,0.010782255,0,2010,5
2010-05-28,0.007201277,0,2010,5
2010-05-27,0.010577131,0,2010,5
2010-05-26,0.011427572,0,2010,5
2010-05-25,-0.03227758,0,2010,5
2010-05-24,0.011746809,0,2010,5
2010-05-21,-0.025149405,0,2010,5
2010-05-20,-0.017823409,0,2010,5
2010-05-19,-0.003446139,0,2010,5
2010-05-18,-0.001766087,0,2010,5
2010-05-17,-0.022311773,0,2010,5
2010-05-14,0.000200757,0,2010,5
2010-05-13,0.022080314,0,2010,5
2010-05-12,-0.000754425,0,2010,5
2010-05-11,-0.007344029,0,2010,5
2010-05-10,0.012901904,0,2010,5
2010-05-07,-0.001633357,0,2010,5
2010-05-06,-0.015255492,0,2010,5
2010-05-05,-0.02948894,0,2010,5
2010-05-04,-0.002691089,0,2010,5
2010-05-03,-0.006506543,0,2010,5
2010-04-30,-0.006183225,0,2010,4
2010-04-29,-0.003402813,0,2010,4
2010-04-28,-0.007965443,0,2010,4
2010-04-27,-0.00143415,0,2010,4
2010-04-26,0.019144548,0,2010,4
2010-04-23,0.003283747,0,2010,4
2010-04-22,-0.001481754,0,2010,4
2010-04-21,0.011405723,0,2010,4
2010-04-20,0.005882188,0,2010,4
2010-04-19,-0.031726287,0,2010,4
2010-04-16,-0.007387475,0,2010,4
2010-04-15,0.009239076,0,2010,4
2010-04-14,0.008393807,0,2010,4
2010-04-13,-0.010842906,0,2010,4
2010-04-12,0.003178436,0,2010,4
2010-04-09,0.004272985,0,2010,4
2010-04-08,-0.007902209,0,2010,4
2010-04-07,0.003971742,0,2010,4
2010-04-06,0.007939267,0,2010,4
2010-04-02,0.001602378,0,2010,4
2010-04-01,0.011746123,0,2010,4
2010-03-31,-0.005295006,0,2010,3
2010-03-30,0.001858458,0,2010,3
2010-03-29,0.008961693,0,2010,3
2010-03-26,0.004945076,0,2010,3
2010-03-25,0.001967349,0,2010,3
2010-03-24,0.001387632,0,2010,3
2010-03-23,-0.003076833,0,2010,3
2010-03-22,-0.007841315,0,2010,3
2010-03-19,0.001467094,0,2010,3
2010-03-18,0.004905808,0,2010,3
2010-03-17,0.019778758,0,2010,3
2010-03-16,0.007951622,0,2010,3
2010-03-15,-0.014636702,0,2010,3
2010-03-12,-0.00017162,0,2010,3
2010-03-11,-0.003781938,0,2010,3
2010-03-10,0.001092581,0,2010,3
2010-03-09,0.001071851,0,2010,3
2010-03-08,0.012523708,0,2010,3
2010-03-05,0.012742741,0,2010,3
2010-03-04,-0.007827491,0,2010,3
2010-03-03,0.004198683,0,2010,3
2010-03-02,0.00262215,0,2010,3
2010-03-01,0.019048964,0,2010,3
2010-02-26,0.001230652,0,2010,2
2010-02-25,-0.013640704,0,2010,2
2010-02-24,-0.00892011,0,2010,2
2010-02-23,0.004947064,0,2010,2
2010-02-22,0.015883169,0,2010,2
2010-02-10,0.01097671,0,2010,2
2010-02-09,0.020116743,0,2010,2
2010-02-08,-0.000270164,0,2010,2
2010-02-05,-0.042987043,0,2010,2
2010-02-04,-0.000786966,0,2010,2
2010-02-03,0.015932196,0,2010,2
2010-02-02,-0.012633112,0,2010,2
2010-02-01,-0.015152269,0,2010,2
2010-01-29,-0.007036122,0,2010,1
2010-01-28,0.017797548,0,2010,1
2010-01-27,-0.005103431,0,2010,1
2010-01-26,-0.034825397,0,2010,1
2010-01-25,-0.006852261,0,2010,1
2010-01-22,-0.024675592,0,2010,1
2010-01-21,-0.011319887,0,2010,1
2010-01-20,-0.003402837,0,2010,1
2010-01-19,-0.010652665,0,2010,1
2010-01-18,-0.002281949,0,2010,1
2010-01-15,0.00807119,0,2010,1
2010-01-14,0.011397464,0,2010,1
2010-01-13,-0.01357624,0,2010,1
2010-01-12,-0.001735982,0,2010,1
2010-01-11,0.005183012,0,2010,1
2010-01-08,0.005278352,0,2010,1
2010-01-07,-0.010831426,0,2010,1
2010-01-06,0.014153494,0,2010,1
2010-01-05,0.000432513,0,2010,1
2010-01-04,0.002410813,0,2010,1
2009-12-31,0.009347557,0,2009,12
2009-12-30,0.007257417,0,2009,12
2009-12-29,-0.000454236,0,2009,12
2009-12-28,0.010648986,0,2009,12
2009-12-25,0.001136429,0,2009,12
2009-12-23,0.005791752,0,2009,12
2009-12-22,0.008825943,0,2009,12
2009-12-21,0.004338613,0,2009,12
2009-12-18,0.001480205,0,2009,12
2009-12-17,-0.001216523,0,2009,12
2009-12-16,-0.007175042,0,2009,12
2009-12-15,-0.001472031,0,2009,12
2009-12-14,0.003086566,0,2009,12
2009-12-11,0.015259361,0,2009,12
2009-12-10,-0.015326865,0,2009,12
2009-12-09,0.003695594,0,2009,12
2009-12-08,-0.000891245,0,2009,12
2009-12-07,0.016302636,0,2009,12
2009-12-04,-0.004393162,0,2009,12
2009-12-03,0.000918253,0,2009,12
2009-12-02,0.003711485,0,2009,12
2009-12-01,0.008839112,0,2009,12
2009-11-30,0.012188105,0,2009,11
2009-11-27,-0.032077125,0,2009,11
2009-11-26,-0.002211103,0,2009,11
2009-11-25,0.005411845,0,2009,11
2009-11-24,0.003565691,0,2009,11
2009-11-23,0.00054406,0,2009,11
2009-11-20,-0.009923995,0,2009,11
2009-11-19,-0.000863946,0,2009,11
2009-11-18,0.004329379,0,2009,11
2009-11-17,-0.007631521,0,2009,11
2009-11-16,0.01657398,0,2009,11
2009-11-13,-0.00069092,0,2009,11
2009-11-12,0.00037428,0,2009,11
2009-11-11,0.009820254,0,2009,11
2009-11-10,0.007535128,0,2009,11
2009-11-09,0.009868619,0,2009,11
2009-11-06,0.006146309,0,2009,11
2009-11-05,-0.006639847,0,2009,11
2009-11-04,0.019679281,0,2009,11
2009-11-03,-0.001670034,0,2009,11
2009-11-02,-0.000667568,0,2009,11
2009-10-30,-0.002122167,0,2009,10
2009-10-29,-0.023660895,0,2009,10
2009-10-28,-0.016113951,0,2009,10
2009-10-27,-0.001442283,0,2009,10
2009-10-26,0.002499582,0,2009,10
2009-10-23,0.005435118,0,2009,10
2009-10-22,-0.012149581,0,2009,10
2009-10-21,-0.006709211,0,2009,10
2009-10-20,0.000283823,0,2009,10
2009-10-19,0.00469469,0,2009,10
2009-10-16,0.000609566,0,2009,10
2009-10-15,0.001903648,0,2009,10
2009-10-14,0.013051892,0,2009,10
2009-10-13,-0.000431586,0,2009,10
2009-10-12,0.003687288,0,2009,10
2009-10-09,0.009149295,0,2009,10
2009-10-08,-0.013846065,0,2009,10
2009-10-07,0.009635021,0,2009,10
2009-10-06,0.013185031,0,2009,10
2009-10-05,0.003521374,0,2009,10
2009-10-02,-0.017681229,0,2009,10
2009-10-01,0.004810119,0,2009,10
2009-09-30,0.010658171,0,2009,9
2009-09-29,0.01995577,0,2009,9
2009-09-28,-0.008251625,0,2009,9
2009-09-25,0.0028672,0,2009,9
2009-09-24,-0.007122368,0,2009,9
2009-09-23,-0.012353679,0,2009,9
2009-09-22,-0.004455872,0,2009,9
2009-09-21,-0.00320067,0,2009,9
2009-09-18,0.006586602,0,2009,9
2009-09-17,0.004981022,0,2009,9
2009-09-16,0.012792904,0,2009,9
2009-09-15,0.012306823,0,2009,9
2009-09-14,-0.010929327,0,2009,9
2009-09-11,0.000690118,0,2009,9
2009-09-10,0.011220955,0,2009,9
2009-09-09,-0.008650545,0,2009,9
2009-09-08,0.012374405,0,2009,9
2009-09-07,0.009990032,0,2009,9
2009-09-04,0.0068237,0,2009,9
2009-09-03,0.00921621,0,2009,9
2009-09-02,0.002851953,0,2009,9
2009-09-01,0.028391652,0,2009,9
2009-08-31,0.00236275,0,2009,8
2009-08-28,0.01780219,0,2009,8
2009-08-27,-0.004235617,0,2009,8
2009-08-26,-0.013246375,0,2009,8
2009-08-25,-0.004217453,0,2009,8
2009-08-24,0.027566568,0,2009,8
2009-08-21,-0.011648199,0,2009,8
2009-08-20,-0.008153399,0,2009,8
2009-08-19,-0.000175264,0,2009,8
2009-08-18,-0.020489628,0,2009,8
